# Date, Time,  Distance, Pitch
8/4/2022 ,16:11:24 ,015, 7.65
8/4/2022 ,16:11:24 ,010, 7.90
8/4/2022 ,16:11:24 ,010, 7.73
8/4/2022 ,16:11:24 ,009, 7.68
8/4/2022 ,16:11:24 ,008, 7.65
8/4/2022 ,16:11:24 ,008, 7.69
8/4/2022 ,16:11:24 ,009, 7.68
8/4/2022 ,16:11:24 ,097, 7.74
8/4/2022 ,16:11:24 ,097, 8.60
8/4/2022 ,16:11:24 ,096, 7.67
8/4/2022 ,16:11:24 ,096, 7.70
8/4/2022 ,16:11:24 ,029, 7.80
8/4/2022 ,16:11:25 ,097, 7.80
8/4/2022 ,16:11:25 ,028, 7.80
8/4/2022 ,16:11:25 ,097, 7.80
8/4/2022 ,16:11:25 ,084, 7.49
8/4/2022 ,16:11:25 ,084, 8.37
8/4/2022 ,16:11:25 ,097, 6.99
8/4/2022 ,16:11:25 ,084, 8.17
8/4/2022 ,16:11:25 ,084, 7.59
8/4/2022 ,16:11:25 ,084, 7.23
8/4/2022 ,16:11:25 ,084, 8.29
8/4/2022 ,16:11:25 ,097, 8.01
8/4/2022 ,16:11:25 ,029, 7.49
8/4/2022 ,16:11:25 ,029, 7.64
8/4/2022 ,16:11:25 ,097, 7.93
8/4/2022 ,16:11:25 ,097, 7.51
8/4/2022 ,16:11:25 ,097, 7.91
8/4/2022 ,16:11:25 ,096, 7.62
8/4/2022 ,16:11:25 ,097, 7.72
8/4/2022 ,16:11:25 ,028, 7.82
8/4/2022 ,16:11:25 ,096, 7.44
8/4/2022 ,16:11:26 ,096, 7.82
8/4/2022 ,16:11:26 ,008, 7.90
8/4/2022 ,16:11:26 ,008, 7.57
8/4/2022 ,16:11:26 ,008, 7.77
8/4/2022 ,16:11:26 ,009, 7.74
8/4/2022 ,16:11:26 ,008, 7.44
8/4/2022 ,16:11:26 ,009, 7.85
8/4/2022 ,16:11:26 ,009, 7.87
8/4/2022 ,16:11:26 ,008, 7.33
8/4/2022 ,16:11:26 ,008, 7.79
8/4/2022 ,16:11:26 ,009, 7.81
8/4/2022 ,16:11:26 ,009, 7.63
8/4/2022 ,16:11:26 ,008, 7.66
8/4/2022 ,16:11:26 ,008, 7.57
8/4/2022 ,16:11:26 ,008, 7.67
8/4/2022 ,16:11:26 ,008, 7.60
8/4/2022 ,16:11:26 ,008, 7.79
8/4/2022 ,16:11:26 ,009, 7.67
8/4/2022 ,16:11:27 ,008, 7.61
8/4/2022 ,16:11:27 ,009, 7.75
8/4/2022 ,16:11:27 ,009, 7.52
8/4/2022 ,16:11:27 ,009, 8.00
8/4/2022 ,16:11:27 ,009, 7.66
8/4/2022 ,16:11:27 ,009, 7.85
8/4/2022 ,16:11:27 ,096, 7.42
8/4/2022 ,16:11:27 ,097, 7.78
8/4/2022 ,16:11:27 ,096, 7.87
8/4/2022 ,16:11:27 ,096, 7.67
8/4/2022 ,16:11:27 ,096, 7.70
8/4/2022 ,16:11:27 ,096, 7.68
8/4/2022 ,16:11:27 ,015, 7.52
8/4/2022 ,16:11:27 ,026, 7.89
8/4/2022 ,16:11:27 ,097, 7.76
8/4/2022 ,16:11:27 ,097, 7.91
8/4/2022 ,16:11:27 ,097, 7.77
8/4/2022 ,16:11:27 ,097, 7.51
8/4/2022 ,16:11:27 ,096, 7.78
8/4/2022 ,16:11:27 ,097, 7.59
8/4/2022 ,16:11:28 ,097, 7.92
8/4/2022 ,16:11:28 ,097, 7.80
8/4/2022 ,16:11:28 ,097, 7.63
8/4/2022 ,16:11:28 ,097, 7.67
8/4/2022 ,16:11:28 ,009, 7.58
8/4/2022 ,16:11:28 ,010, 7.76
8/4/2022 ,16:11:28 ,096, 7.76
8/4/2022 ,16:11:28 ,096, 7.80
8/4/2022 ,16:11:28 ,096, 7.79
8/4/2022 ,16:11:28 ,096, 7.65
8/4/2022 ,16:11:28 ,096, 7.53
8/4/2022 ,16:11:28 ,096, 7.70
8/4/2022 ,16:11:28 ,096, 7.70
8/4/2022 ,16:11:28 ,097, 7.83
8/4/2022 ,16:11:28 ,097, 7.74
8/4/2022 ,16:11:28 ,096, 7.56
8/4/2022 ,16:11:28 ,097, 7.67
8/4/2022 ,16:11:28 ,096, 7.52
8/4/2022 ,16:11:28 ,027, 7.90
8/4/2022 ,16:11:28 ,008, 7.64
8/4/2022 ,16:11:29 ,097, 7.66
8/4/2022 ,16:11:29 ,009, 7.94
8/4/2022 ,16:11:29 ,097, 7.68
8/4/2022 ,16:11:29 ,096, 7.60
8/4/2022 ,16:11:29 ,097, 7.74
8/4/2022 ,16:11:29 ,097, 7.67
8/4/2022 ,16:11:29 ,096, 7.97
8/4/2022 ,16:11:29 ,097, 7.07
8/4/2022 ,16:11:29 ,097, 8.31
8/4/2022 ,16:11:29 ,096, 7.38
8/4/2022 ,16:11:29 ,097, 7.82
8/4/2022 ,16:11:29 ,097, 7.43
8/4/2022 ,16:11:29 ,097, 7.98
8/4/2022 ,16:11:29 ,097, 7.84
8/4/2022 ,16:11:29 ,097, 7.34
8/4/2022 ,16:11:29 ,027, 8.19
8/4/2022 ,16:11:29 ,026, 7.84
8/4/2022 ,16:11:29 ,027, 7.44
8/4/2022 ,16:11:29 ,027, 7.92
8/4/2022 ,16:11:30 ,026, 7.81
8/4/2022 ,16:11:30 ,097, 7.61
8/4/2022 ,16:11:30 ,027, 7.83
8/4/2022 ,16:11:30 ,025, 7.69
8/4/2022 ,16:11:30 ,027, 7.71
8/4/2022 ,16:11:30 ,028, 7.89
8/4/2022 ,16:11:30 ,096, 7.60
8/4/2022 ,16:11:30 ,096, 7.63
8/4/2022 ,16:11:30 ,040, 7.60
8/4/2022 ,16:11:30 ,025, 7.72
8/4/2022 ,16:11:30 ,027, 7.93
8/4/2022 ,16:11:30 ,028, 7.62
8/4/2022 ,16:11:30 ,028, 7.75
8/4/2022 ,16:11:30 ,040, 7.82
8/4/2022 ,16:11:30 ,040, 7.68
8/4/2022 ,16:11:30 ,028, 7.84
8/4/2022 ,16:11:30 ,040, 7.94
8/4/2022 ,16:11:30 ,040, 7.86
8/4/2022 ,16:11:30 ,040, 7.90
8/4/2022 ,16:11:30 ,040, 7.66
8/4/2022 ,16:11:31 ,040, 7.70
8/4/2022 ,16:11:31 ,040, 7.58
8/4/2022 ,16:11:31 ,040, 7.68
8/4/2022 ,16:11:31 ,040, 7.77
8/4/2022 ,16:11:31 ,040, 7.67
8/4/2022 ,16:11:31 ,040, 7.55
8/4/2022 ,16:11:31 ,040, 7.94
8/4/2022 ,16:11:31 ,040, 7.85
8/4/2022 ,16:11:31 ,040, 7.79
8/4/2022 ,16:11:31 ,040, 7.72
8/4/2022 ,16:11:31 ,040, 7.57
8/4/2022 ,16:11:31 ,040, 7.83
8/4/2022 ,16:11:31 ,040, 7.75
8/4/2022 ,16:11:31 ,040, 7.76
8/4/2022 ,16:11:31 ,040, 7.69
8/4/2022 ,16:11:31 ,040, 7.87
8/4/2022 ,16:11:31 ,040, 7.65
8/4/2022 ,16:11:31 ,040, 7.69
8/4/2022 ,16:11:31 ,040, 7.74
8/4/2022 ,16:11:31 ,040, 7.74
8/4/2022 ,16:11:32 ,040, 7.74
8/4/2022 ,16:11:32 ,040, 7.73
8/4/2022 ,16:11:32 ,040, 7.84
8/4/2022 ,16:11:32 ,040, 7.68
8/4/2022 ,16:11:32 ,040, 7.68
8/4/2022 ,16:11:32 ,040, 7.84
8/4/2022 ,16:11:32 ,040, 7.68
8/4/2022 ,16:11:32 ,040, 7.69
8/4/2022 ,16:11:32 ,040, 7.62
8/4/2022 ,16:11:32 ,040, 7.66
8/4/2022 ,16:11:32 ,040, 7.77
8/4/2022 ,16:11:32 ,040, 7.71
8/4/2022 ,16:11:32 ,040, 7.73
8/4/2022 ,16:11:32 ,040, 7.68
8/4/2022 ,16:11:32 ,040, 7.76
